player_id,Name,Age,Position,Minutes,Matches Played,Starts,Subs,Goals,Assists,G+A/90,Shots/90,Shots on target/90,Pens taken,Pens scored,Club position at the end of the league
74,Ivan Cavaleiro,27,LW,2472,36,27,9,3,0,0.11,1.71,0.62,2,1,18th
75,Raphinha,24,LW,2360,30,26,4,6,9,0.57,2.56,0.92,0,0,9th
76,Jack Grealish,25,LW,2185,26,24,2,6,12,0.66,2.06,0.78,0,0,11th
77,Harvey Barnes,23,LW,1945,25,22,3,9,4,0.6,2.59,1.2,0,0,5th
78,Daniel Podence,25,LW,1661,24,22,2,3,2,0.27,1.73,0.76,0,0,13th
79,Allan Saint-Maximin,24,LW,1559,25,19,6,3,4,0.4,1.73,0.75,0,0,12th
80,Alex Iwobi,25,LW,1542,30,17,13,1,3,0.18,0.93,0.18,0,0,10th
81,Willian Borges da Silva,32,LW,1406,25,16,9,1,5,0.38,1.28,0.19,0,0,8th
82,Said Benrahama,25,LW,1391,30,14,16,1,6,0.45,2.26,0.78,0,0,6th
83,Moussa Djenepo,22,LW,1240,27,15,12,1,0,0.07,1.02,0.15,0,0,15th
84,Steven Bergwijn,23,LW,1208,21,13,8,1,4,0.3,1.12,0.45,0,0,7th
85,Trezeguet,26,LW,1166,21,12,9,2,1,0.23,2.7,0.93,0,0,11th
86,Callum Hudson-Odoi,20,LW,1059,23,10,13,2,3,0.42,1.95,0.59,0,0,4th
87,Bruno Fernandes,26,AM,3099,37,35,2,18,11,0.87,3.51,1.48,11,9,2nd
88,Mason Mount,22,AM,2891,36,32,4,6,6,0.34,2.55,0.84,1,1,4th
89,Matheus Pereira,25,AM,2578,33,30,3,11,6,0.59,2.27,0.98,4,4,19th
90,Eberechi Eze,22,AM,2559,34,29,5,4,6,0.35,1.3,0.46,0,0,14th
91,Abdoulaye Doucoure,28,AM,2443,29,29,0,2,3,0.18,0.66,0.18,0,0,10th
92,Bobby De Cordova-Reid,28,AM,2372,33,28,5,5,3,0.27,1.29,0.34,0,0,18th
93,Gylfi Sigurdsson,31,AM,2253,36,24,12,6,5,0.44,1.96,0.68,4,3,10th
94,James Maddison,24,AM,2099,31,24,7,8,7,0.56,3.22,0.99,0,0,5th
95,Bernardo Silva,26,AM,2065,26,24,2,2,6,0.35,1.22,0.57,0,0,1st
96,Kevin De Bruyne,29,AM,1997,25,23,2,6,12,0.81,3.65,1.22,3,2,1st
97,James Rodriguez,29,AM,1764,23,21,2,6,5,0.51,1.89,0.92,0,0,10th
98,Phil Foden,20,AM,1616,28,17,11,9,5,0.78,2.51,1.11,0,0,1st
99,Adam Lallana,33,AM,1595,30,16,14,1,1,0.11,1.24,0.28,0,0,16th
100,Emile Smith Rowe,20,AM,1440,20,18,2,2,4,0.37,0.81,0.37,0,0,10th
101,Giovani Lo Celso,25,AM,945,18,11,7,1,1,0.19,1.43,0.57,0,0,7th
102,James Ward-Prowse,26,CM,3420,38,38,0,8,7,0.39,1.13,0.63,4,3,15th
103,Youri Tielemans,24,CM,3357,38,37,1,6,4,0.27,1.29,0.54,2,2,5th
104,John McGinn,26,CM,3330,37,37,0,3,6,0.22,1.24,0.32,0,0,11th
105,Georginio Wijnaldum,30,CM,2941,38,34,4,2,0,0.06,0.95,0.28,0,0,3rd
106,Declan Rice,22,CM,2879,32,32,0,2,1,0.09,0.88,0.25,2,1,6th
107,Stuart Armstrong,29,CM,2764,33,32,1,4,5,0.29,1.76,0.36,0,0,15th
108,Jonjo Shelvey,29,CM,2617,30,29,1,1,3,0.14,1.44,0.31,0,0,12th
109,Pablo Fornals,25,CM,2572,33,31,2,5,4,0.31,1.75,0.56,0,0,6th
110,Conor Gallagher,21,CM,2531,30,28,2,2,2,0.14,1.03,0.25,0,0,19th
111,Joao Moutinho,34,CM,2529,33,28,5,1,1,0.07,0.5,0.14,0,0,13th
112,Pascal Groß,29,CM,2484,34,27,7,3,8,0.4,1.16,0.25,4,3,16th
113,Fred,28,CM,2390,30,27,3,1,0,0.04,0.94,0.26,0,0,2nd
114,Scott McTominay,24,CM,2129,32,24,8,4,1,0.21,1.1,0.34,0,0,2nd
115,Tanguy Ndombele,24,CM,2091,33,28,5,3,2,0.22,0.77,0.3,0,0,7th
116,Joelinton,24,CM,1984,31,23,8,4,2,0.27,2,0.95,1,1,12th
117,Paul Pogba,28,CM,1897,26,21,5,3,5,0.28,1.47,0.52,0,0,2nd
118,Thiago Alcantara,30,CM,1854,24,20,4,1,0,0.05,1.07,0.24,0,0,3rd
119,Ben Osborn,26,CM,1604,24,17,7,1,0,0.06,0.5,0.28,0,0,20th
120,Jeff Hendrick,29,CM,1573,22,17,5,2,1,0.19,0.63,0.13,0,0,12th
121,Curtis Jones,20,CM,1179,24,13,11,1,2,0.23,1.45,0.69,0,0,3rd
122,Alexis Mac Allister,22,CM,1115,21,13,8,1,1,0.16,1.94,0.24,0,0,16th
